36;Jonas;jonas@sid.com;210;Oftalmo
84;Mara;mara@sid.com;500;Psiquiatria
96;Pedro;pedro@sid.com;600;Pediatria
72;Anabela;anabela@sid.com;700;Odonto
24;Zara;zara@sid.com;800;Vascular
69;Paulo;paulo@sid.com;601;Pediatria
48;Marcus;marcus@sid.com;701;Odonto
85;Zelinda;zelinda@sid.com;501;Psiquiatria
53;Moises;moises@sid.com;300;Ortopedia
97;Mane;mane@sid.com;901;Cardiologia
42;Papa;papa@sid.com;301;Ortopedia
54;Gustavo;gustavo@sid.com;201;Nefro
89;Diogenes;diogenes@sid.com;111;Uro
62;Hugo;hugo@sid.com;100;Uro
11;Walter;walter@sid.com;900;Cardiologia
55;Lalau;lalau@sid.com;801;Vascular
67;Ze Carlos;zecarlos@sid.com;710;Endocrino
33;Ana Rita;arita@sid.com;400;Fono
27;Leocardio;leo@sid.com;200;Nefro
19;Celso;celso@sid.com;711;Endocrino
83;Ana Clara;aclara@sid.com;401;Fono
75;Tiago;tia@sid.com;211;Oftalmo
