36;Jonas;210;Oftalmo;D;jonas@sid.com
84;Mara;500;Psiquiatria;D;mara@sid.com
96;Pedro;600;Pediatria;D;pedro@sid.com
72;Anabela;110;Odonto;D;anabela@sid.com
24;Zara;800;Vascular;D;zara@sid.com
69;Paulo;601;Pediatria;N;paulo@sid.com
48;Marcus;701;Odonto;N;marcus@sid.com
85;Zelinda;501;Psiquiatria;N;zelinda@sid.com
53;Moises;300;Ortopedia;D;moises@sid.com
97;Mane;901;Cardiologia;N;mane@sid.com
42;Papa;301;Ortopedia;N;papa@sid.com
54;Gustavo;201;Nefro;N;gustavo@sid.com
89;Diogenes;111;Uro;N;diogenes@sid.com
62;Hugo;100;Uro;D;hugo@sid.com
11;Walter;900;Cardiologia;D;walter@sid.com
55;Lalau;801;Vascular;N;lalau@sid.com
67;Ze Carlos;700;Endocrino;D;zecarlos@sid.com
33;Ana Rita;400;Fono;D;arita@sid.com
27;Leocardio;200;Nefro;D;leo@sid.com
19;Celso;711;Endocrino;N;celso@sid.com
83;Ana Clara;401;Fono;N;aclara@sid.com
75;Tiago;211;Oftalmo;N;tia@sid.com
